team_name,city,season_year,games_played,wins,win_pct,avg_goals_for,avg_shots
Penguins,Pittsburgh,2000,73,42,57.5,3.55,28.79
Penguins,Pittsburgh,2001,74,28,37.8,2.35,26.72
Penguins,Pittsburgh,2002,76,27,35.5,2.36,25.17
Penguins,Pittsburgh,2003,74,23,31.1,2.3,24.92
Penguins,Pittsburgh,2005,82,22,26.8,2.96,28.01
Penguins,Pittsburgh,2006,82,47,57.3,3.26,28.85
Penguins,Pittsburgh,2007,82,47,57.3,2.93,27.67
Penguins,Pittsburgh,2008,82,45,54.9,3.15,29.04
Penguins,Pittsburgh,2009,82,47,57.3,3.04,32.79
Penguins,Pittsburgh,2010,89,52,58.4,2.72,31.9
Penguins,Pittsburgh,2011,88,53,60.2,3.4,33.64
Penguins,Pittsburgh,2012,63,44,69.8,3.35,30.76
Penguins,Pittsburgh,2013,95,58,61.1,2.92,30.43
Penguins,Pittsburgh,2014,87,44,50.6,2.59,31.33
Penguins,Pittsburgh,2015,106,64,60.4,2.96,33.58
Penguins,Pittsburgh,2016,107,66,61.7,3.32,32.43
Penguins,Pittsburgh,2017,94,53,56.4,3.32,33.74
Penguins,Pittsburgh,2018,344,176,51.2,3.22,33.34
Penguins,Pittsburgh,2019,289,164,56.7,3.15,31.93
Predators,Nashville,2000,73,34,46.6,2.27,26.18
Predators,Nashville,2001,69,28,40.6,2.38,24.36
Predators,Nashville,2002,69,27,39.1,2.28,28.01
Predators,Nashville,2003,71,38,53.5,2.72,26.9
Predators,Nashville,2005,82,49,59.8,3.09,29.04
Predators,Nashville,2006,82,51,62.2,3.24,27.57
Predators,Nashville,2007,82,41,50.0,2.77,29.57
Predators,Nashville,2008,82,40,48.8,2.52,28.96
Predators,Nashville,2009,82,47,57.3,2.65,30.59
Predators,Nashville,2010,94,50,53.2,2.62,28.89
Predators,Nashville,2011,92,53,57.6,2.76,27.57
Predators,Nashville,2012,48,16,33.3,2.27,25.92
Predators,Nashville,2013,82,38,46.3,2.61,29.05
Predators,Nashville,2014,88,49,55.7,2.81,32.34
Predators,Nashville,2015,96,48,50.0,2.66,30.39
Predators,Nashville,2016,104,55,52.9,2.87,30.88
Predators,Nashville,2017,95,60,63.2,3.18,32.71
Predators,Nashville,2018,352,196,55.7,2.82,32.91
Predators,Nashville,2019,292,144,49.3,3.05,33.56
Rangers,NY Rangers,2000,77,33,42.9,3.04,28.66
Rangers,NY Rangers,2001,78,36,46.2,2.81,29.12
Rangers,NY Rangers,2002,72,32,44.4,2.54,30.21
Rangers,NY Rangers,2003,75,27,36.0,2.56,29.23
Rangers,NY Rangers,2005,82,44,53.7,3.05,29.85
Rangers,NY Rangers,2006,82,42,51.2,2.84,31.54
Rangers,NY Rangers,2007,82,42,51.2,2.5,31.45
Rangers,NY Rangers,2008,82,43,52.4,2.44,32.43
Rangers,NY Rangers,2009,82,38,46.3,2.67,29.57
Rangers,NY Rangers,2010,87,45,51.7,2.67,29.9
Rangers,NY Rangers,2011,102,61,59.8,2.6,28.68
Rangers,NY Rangers,2012,60,31,51.7,2.53,30.75
Rangers,NY Rangers,2013,107,58,54.2,2.6,32.26
Rangers,NY Rangers,2014,101,64,63.4,2.9,31.38
Rangers,NY Rangers,2015,87,47,54.0,2.79,28.63
Rangers,NY Rangers,2016,94,54,57.4,3.05,30.15
Rangers,NY Rangers,2017,82,34,41.5,2.78,30.95
Rangers,NY Rangers,2018,328,128,39.0,2.7,29.18
Rangers,NY Rangers,2019,289,148,51.2,3.26,31.05
Red Wings,Detroit,2000,73,49,67.1,3.18,32.33
Red Wings,Detroit,2001,72,51,70.8,3.17,30.89
Red Wings,Detroit,2002,72,48,66.7,3.36,29.35
Red Wings,Detroit,2003,71,48,67.6,3.24,29.97
Red Wings,Detroit,2005,82,58,70.7,3.67,34.11
Red Wings,Detroit,2006,82,50,61.0,3.07,33.79
Red Wings,Detroit,2007,82,54,65.9,3.07,34.39
Red Wings,Detroit,2008,82,51,62.2,3.52,36.16
Red Wings,Detroit,2009,82,44,53.7,2.72,33.38
